obs_date,year,month,industry,job_openings_rate,hires_rate
2020-12-01,2020,12,Total Nonfarm,4.5,3.9
2021-01-01,2021,1,Total Nonfarm,4.8,3.9
2021-02-01,2021,2,Total Nonfarm,5.2,4.1
2021-03-01,2021,3,Total Nonfarm,5.6,4.3
2021-04-01,2021,4,Total Nonfarm,6.1,4.2
2021-05-01,2021,5,Total Nonfarm,6.4,4.1
2021-06-01,2021,6,Total Nonfarm,6.6,4.5
2021-07-01,2021,7,Total Nonfarm,7.0,4.6
2021-08-01,2021,8,Total Nonfarm,6.9,4.3
2021-09-01,2021,9,Total Nonfarm,6.8,4.5
2021-10-01,2021,10,Total Nonfarm,7.0,4.5
2021-11-01,2021,11,Total Nonfarm,7.0,4.6
2021-12-01,2021,12,Total Nonfarm,7.1,4.5
2022-01-01,2022,1,Total Nonfarm,7.0,4.3
2022-02-01,2022,2,Total Nonfarm,7.2,4.5
2022-03-01,2022,3,Total Nonfarm,7.5,4.4
2022-04-01,2022,4,Total Nonfarm,7.3,4.3
2022-05-01,2022,5,Total Nonfarm,7.1,4.2
2022-06-01,2022,6,Total Nonfarm,6.9,4.3
2022-07-01,2022,7,Total Nonfarm,7.0,4.2
2022-08-01,2022,8,Total Nonfarm,6.2,4.2
2022-09-01,2022,9,Total Nonfarm,6.6,4.0
2022-10-01,2022,10,Total Nonfarm,6.4,4.0
2022-11-01,2022,11,Total Nonfarm,6.4,4.0
2022-12-01,2022,12,Total Nonfarm,6.6,4.0
2023-01-01,2023,1,Total Nonfarm,6.2,4.1
2023-02-01,2023,2,Total Nonfarm,6.0,3.9
2023-03-01,2023,3,Total Nonfarm,5.9,3.8
2023-04-01,2023,4,Total Nonfarm,6.0,3.8
2023-05-01,2023,5,Total Nonfarm,5.7,3.9
2023-06-01,2023,6,Total Nonfarm,5.6,3.8
2023-07-01,2023,7,Total Nonfarm,5.3,3.6
2023-08-01,2023,8,Total Nonfarm,5.6,3.7
2023-09-01,2023,9,Total Nonfarm,5.6,3.7
2023-10-01,2023,10,Total Nonfarm,5.2,3.7
2023-11-01,2023,11,Total Nonfarm,5.2,3.5
2023-12-01,2023,12,Total Nonfarm,5.2,3.6
2024-01-01,2024,1,Total Nonfarm,5.1,3.6
2024-02-01,2024,2,Total Nonfarm,5.1,3.6
2024-03-01,2024,3,Total Nonfarm,5.0,3.5
2024-04-01,2024,4,Total Nonfarm,4.6,3.5
2024-05-01,2024,5,Total Nonfarm,4.7,3.5
2024-06-01,2024,6,Total Nonfarm,4.5,3.3
2024-07-01,2024,7,Total Nonfarm,4.5,3.4
2024-08-01,2024,8,Total Nonfarm,4.6,3.3
2024-09-01,2024,9,Total Nonfarm,4.2,3.4
2024-10-01,2024,10,Total Nonfarm,4.5,3.3
2024-11-01,2024,11,Total Nonfarm,4.6,3.3
2024-12-01,2024,12,Total Nonfarm,4.4,3.3
2025-01-01,2025,1,Total Nonfarm,4.5,3.3
2025-02-01,2025,2,Total Nonfarm,4.4,3.3
2025-03-01,2025,3,Total Nonfarm,4.2,3.4
2025-04-01,2025,4,Total Nonfarm,4.3,3.4
2025-05-01,2025,5,Total Nonfarm,4.4,3.4
2025-06-01,2025,6,Total Nonfarm,4.3,3.4
2025-07-01,2025,7,Total Nonfarm,4.3,3.3
2025-08-01,2025,8,Total Nonfarm,4.2,3.2
2025-09-01,2025,9,Total Nonfarm,4.3,3.3
2025-10-01,2025,10,Total Nonfarm,4.3,3.3
2025-11-01,2025,11,Total Nonfarm,4.1,3.2
2025-12-01,2025,12,Total Nonfarm,4.0,3.3
2026-01-01,2026,1,Total Nonfarm,4.4,3.4
2026-02-01,2026,2,Total Nonfarm,4.2,3.1
